,listing_id,id,date,reviewer_id,reviewer_name,comments,Rating
510096,2141667,181903129,2017-08-13,129987392,Antonio,Padrisimo lugar gran experiencia,5
210478,10084168,90847083,2016-08-02,28418668,Rahul,The host canceled this reservation  days before arrival This is an automated posting,2
363213,16382866,163390766,2017-06-24,82713957,Anne,Logement propre et calme mais chambre au sous sol sans fenetre,1
687368,8239352,67092729,2016-03-26,49144687,Sara,Ashley was great and welcoming The space was small but clean and enough for two people There aren't any subway  stations within walking  distance but it's a cheap Uber away Not the greatest of neighborhoods at first glance but works,3
346241,2268950,41230620,2015-08-05,9603753,Angel,If you love coffee like I do you have to appreciate it when a host takes the time to leave a list of the best coffee shops in the area It's little touches like this that the make a huge difference Adon was an excellent host with great communication and follow up The fact his place has an unobstructed view of the Empire State Building and one of the most fabulous roof decks I've had access to in Manhattan makes it a great place to stay in Murray Hill The doormen at his building were super helpful and friendly And my wife loved Tracy the clownfish in Adon's aquarium Would definitely stay there again,3
437666,5334478,51920775,2015-10-25,43300105,Sean,Pictures and description of the apartment were a perfect representation of the place  The location was fantastic really close to the th street subway which allows you to get to pretty much anywhere in Manhattan within  minutes   You could also just walk a lot since it is very central      Apt has working TV and Apple TV hooked up  Small kitchen but doesn't matter much since there are great restaurants   Key exchange and contacting hosts was really easy,4
112821,15195878,113938390,2016-11-14,102163627,Elizabeth,Sameer was kind and left a welcome basket for us a list of restaurants and sights helped us with our airport transport and allowed us to have an early check in He called ahead to check in and confirm our arrival He was a very gracious host We loved our stay at his apartment,4
461709,6545572,40923250,2015-08-03,35219592,Federico,Amazing location extremely close to the major midtown attraction and just a  minutes walk to the Empire State BuildingThe room is nice bright and clean facing the st street (there might be a little noise in the early morning when the trucks come to collect the trash from the various places around but except this the neighborhood is quiet) The apartment is huge and the shared bathroom is big and modern with everything you might needLast but not least Ilya and Yuri were super duper nice and friendly to the point we just wished we spent more time togetherNext time we go back to NYC we will % contact these guys again,5
605215,322604,152442584,2017-05-16,123782415,Janice,Great location in Williamsburg within walking distance of numerous shops and restaurants as well as L train to Manhattan  Host is very engaging and provides interesting information about the neighbourhood and attractions The loft bed would not be appropriate for elderly guests or those with mobility issues ,3
584509,5339857,26666576,2015-02-16,27711190,Angela,The room was very cozy and our hostess was very warm and welcoming She showed us delicious eateries in the local area and made sure we had everything we need I really enjoyed my stay at this place and I reccomend it to anyone who is visiting this area ,5
628292,255476,78655102,2016-06-08,49544490,Khalid,Had a great experience at Bree's place Place is as nice if not nicer then pics Bree herself is super helpful/nice  You share the common living space with two cats who are very well behaved  More of a roommate then a landlord vibe  The location is great as well  Easy to park  Lots of good restaurants and bars  But your room is pretty quite and you can have your privacy  Back yard area is pretty sweet as well,3
675248,16389777,139775744,2017-03-26,4870963,Corbin,Clean apartment and easy access to everything  Stayed for a weekend and was able to walk to Chinatown for dim sum and in the evening come home with a short walk from the bars in East Village  Would definitely stay again next time I visit NYC,4
577922,6141401,120916220,2016-12-12,92455511,Jon,Jon is great Always available and always willing to go out of his way Great place Highly suggest,3
734418,8150998,133444177,2017-02-22,116852993,Tricia,The apartment is in a great location  We walked to Central Park and Times Square and the Intrepid  We took the subway from Columbus Circle which is very close and main trains run through there  The apartment is on the first floor  The doormen(women) were terrific  Ety met us and was great  All in all it was a very easy place to rent and use as a home base for our travels,4
700713,1130680,85140217,2016-07-10,5274691,Anniken,Madisons apartment was a great base for our stay in New York and had everything we needed Location is good on a relatively quiet street and close to the metro Madison was a super host always available and easy to communicate with Would definitely stay here again,4
64788,2274334,171084693,2017-07-16,79871152,Andrea,Great location & the space was perfect We can't wait to visit again and hopefully this location will be available  Great Host,3
48446,19084262,160799987,2017-06-15,1512053,Soraya,Danica's place was very clean cozy and beautifully designed Exactly as pictured and there was a great deal of closet and drawer space with loads of hangers It is pleasant comfortable nicely decorated immaculately clean and right away gives the feeling that you are welcome Fantastic location and very comfortable apartment in a great neighborhood There are shops and eateries all around The location is very convenient to several subway lines An extremely valuable feature for a New York apartment - it is quiet despite the neighborhood that is full of life The bedroom is so quiet that it makes you forget that you are in Manhattan Although we were familiar with this part of the city the opportunity to step out at night into the bustling whirlwind of life - and the chance to have some rest after that - made us remember that life is to be enjoyed Danica herself was an amazing person She’s very lovely and was very easy to communicate with and very accommodating I recommend it wholeheartedly,4
714322,66718,55366985,2015-12-01,36367651,Ludovic,Logement qui correspond bien à la description très bien situé à  minutes du metro et à proximité des commercesMadame Mimi nous attendais à l'appartement lors de notre arrivée,1
398250,1797986,38328717,2015-07-14,2445216,Maksim,The host canceled this reservation  days before arrival This is an automated posting,2
340995,11701222,171754161,2017-07-18,4231720,Florence,Convenient to subway parks museums and Farmer's Market on Saturday clean and absolutely will book again  Austine made a wonderful host and knew just how to give privacy while maintaining the comfort of accommodations for his guests,2
755748,1984254,33901202,2015-06-02,28641536,Paul,Alles war super vorbereitet eine genaue Beschreibung mit allem nötigen lag in der Wohnung aus Alles wunderbar,5
462459,2080861,51021541,2015-10-17,41070223,Myra,The apartment was clean spacious and just what we needed for a family of  Nancy was attentive to our needs We arrived early and she accommodated our request to leave our luggage in a safe place to store while we picked up something to eat while waiting to check in We felt safe in the neighborhood We did not take the subway because we were traveling with my mom who is  and we use Uber Average fare to Manhattan depending on traffic is  There are nearby grocery stores and we bought fruits and cooked breakfast before heading out to explore Internet was a little spotty at times but we are mostly out I would recommend Nancy's apartment to my family and friends,4
352965,16272946,124767528,2017-01-02,108713478,Stephane,Très bien reçu Explications  en Français pour les lieux Remise rapide des clésTrès propreLe quartier est très sécuritaire avec de beaux restos et cafés à proximitéMétro à proximité pour un accès rapide à Manhattan,1
337473,10133534,107654171,2016-10-11,49929544,Flora,The whole experience was great The place is lovely and the hosts are helpful,3
161309,9034645,112311098,2016-11-05,27828395,Marie,Appartement vraiment top et très bien situé Propre clair spacieux (pour ) très bien équipéSeuls petits désagréments  la literie le fait qu'il n'y ait pas de télé sans abonnement et un petit problème avec le chauffage en début de séjourPar ailleurs Vee est adorable et aidante mais la communication par (SENSITIVE CONTENTS HIDDEN) pas toujours évidente quand on a pas de wifi à disposition Parfois délais de réponse un peu longEnfin le système de clés à récupérer et déposer dans un café nous a valu quelques sueurs froides,1
697188,16011968,150663514,2017-05-08,38410990,Yuki Yiyuan,great place,3
509649,546383,1815417,2012-07-27,125525,Betty,Linda was GREAT The room was perfect - cozy and clean I enjoyed my stay even though it was very short Linda was an awesome host and she definitely made my trip better especially letting me store my luggage with her while I shop at Times Square Her cats are soooo cute  I highly recommend this place ,3
359865,10968706,167310555,2017-07-06,28169537,Veronica,Great location and well kept apartment Clear instructions and easy to contact hosts ,4
