UserId,"Recommended Listing,Rating"
36894430,"[(14369923, 4.2801860113863981), (1185644, 4.2642601679730081), (1073832, 4.2241796871781121)]"
9765927,"[(1881801, 4.2172184632173408), (2134047, 4.1972767775000435), (10423083, 4.1815109399793133)]"
12936998,"[(4501541, 4.2277572183029024), (1737891, 4.218068178636087), (2214323, 4.1993199628622184)]"
345461,"[(12028699, 4.2869922916636485), (13292687, 4.2195689032446637), (8564421, 4.2035988661923973)]"
6171559,"[(2461540, 4.2375517962309734), (19209710, 4.2145062136136886), (14665418, 4.2080897381983409)]"
3414482,"[(728708, 4.1999382576747069), (289665, 4.19978496258042), (15041647, 4.1980966776634316)]"
14226364,"[(1039931, 4.2245680555216927), (14959164, 4.188655127827551), (11888026, 4.1768204529845461)]"
84143732,"[(8456825, 4.223462970185011), (5550458, 4.2047460727397832), (699472, 4.1975816978936402)]"
65437413,"[(13654127, 4.2512869119755488), (17136670, 4.2364004794718886), (115535, 4.2064324594397879)]"
21168586,"[(15319835, 4.2036176654399302), (12292255, 4.2001750991876747), (7967503, 4.1979371374001824)]"
