UserId,"Recommended Listing,Rating"
56075148,"[(17461591, 4.8124434707154808), (15887436, 4.8105955355458248), (13005376, 4.7796097851169623)]"
51369115,"[(55737, 4.7620528792744938), (5506083, 4.7329965070288296), (17109623, 4.7328793112722938)]"
38699430,"[(2451647, 4.7104019361251934), (4469455, 4.6502233234003532), (16843605, 4.6475889103193921)]"
5273094,"[(13533366, 4.830596584720988), (14038649, 4.8239091446671685), (14595567, 4.8130294766265624)]"
5353500,"[(5418807, 4.5900267657079752), (3441930, 4.5752299094569917), (18889932, 4.564895179244167)]"
2146954,"[(12711351, 4.6024454665485468), (2105283, 4.5930207701659604), (10963433, 4.5897461276118596)]"
39368941,"[(2451647, 4.5795476276498643), (9219049, 4.5651642391482765), (11218771, 4.5250224206273568)]"
910338,"[(67208, 4.7352238701461005), (16324410, 4.7279067077894448), (1144861, 4.7028247382016133)]"
4474951,"[(15797715, 4.6797629413660591), (16283024, 4.6635280522260434), (9557990, 4.6615399948202807)]"
52594518,"[(10658250, 4.7647323564949975), (6680201, 4.7011561158164028), (15681476, 4.6979493033838233)]"
24528522,"[(5902822, 4.6168237033021366), (15312128, 4.561176806416479), (12781955, 4.5374269487924792)]"
42412671,"[(2093455, 4.6780466641098766), (4550353, 4.6450434644413701), (13393930, 4.6434320070509969)]"
7054,"[(11303867, 4.6341995676195715), (13082571, 4.6276629320958573), (506121, 4.622326331104607)]"
4315951,"[(112435, 4.8549166865163196), (5406581, 4.8145814367244766), (10496558, 4.7972765176254786)]"
2620392,"[(932277, 4.6869095767243092), (3012871, 4.6522998209456254), (6020237, 4.64996409810347)]"
4084563,"[(15545007, 4.8359718871941872), (14651089, 4.8275316882953661), (159019, 4.817746505956646)]"
810480,"[(13208065, 4.4214316874689725), (10186192, 4.4198207795925137), (14101329, 4.4141099832310049)]"
28398892,"[(5871372, 4.6231977815926202), (15532499, 4.5960832414062978), (17186834, 4.5938179177084102)]"
28831632,"[(13275792, 4.7524439623473977), (14035390, 4.7509376753083519), (8068363, 4.7374177681724987)]"
27816201,"[(1030254, 4.629358578069084), (11713627, 4.6008567394895206), (7438743, 4.5985569727688498)]"
96645238,"[(6360200, 4.6009782325678428), (12812630, 4.5997954466047206), (506121, 4.5698989619283337)]"
32597647,"[(12829059, 4.6469458591163928), (14348580, 4.6440659694294721), (11714323, 4.6226282463923365)]"
39274139,"[(1628156, 4.7349514179626775), (10963433, 4.7275894395625722), (4469455, 4.7139764272637885)]"
18974398,"[(5051551, 4.6737730213083406), (149777, 4.6587685593440602), (8650772, 4.6112941994372934)]"
55271385,"[(16284740, 4.8192484675873137), (19502013, 4.7764871885409859), (1325759, 4.7684469880616263)]"
6028630,"[(15134267, 4.7658681727963321), (18648243, 4.745859454022737), (18126531, 4.7369482122673148)]"
5022769,"[(14595567, 4.6882002746147275), (13486843, 4.6528390934092636), (18254657, 4.6435141229272299)]"
39177007,"[(15720449, 4.5083751217410084), (5410897, 4.5037365234621953), (15028279, 4.4940712396678961)]"
102951,"[(13396077, 4.7442728771872948), (65019, 4.7077062038850777), (12683378, 4.658505085622191)]"
941907,"[(8664721, 4.6959206867304752), (1987371, 4.6533648881349992), (4469455, 4.6480254913699097)]"
17739112,"[(16944820, 4.8067832727613764), (1145134, 4.7984968087506221), (4550353, 4.7967338441681262)]"
31455071,"[(1531211, 4.7039747676624026), (11303867, 4.6823298854017148), (4550353, 4.6670856998782053)]"
87156070,"[(1930685, 4.6893074306251554), (2679171, 4.687391415717074), (3533604, 4.6809768400926641)]"
80046872,"[(7436186, 4.5382440738431455), (506121, 4.5131726211235819), (5022295, 4.5024783390965037)]"
16838708,"[(17593461, 4.7723113861903848), (260618, 4.7204017216256871), (53469, 4.6891846331362643)]"
726693,"[(14552533, 4.7566397573145256), (2817022, 4.727014508272438), (5798177, 4.7045129276284872)]"
34479138,"[(4792529, 4.8446420166939381), (2000576, 4.8188131838600139), (6114908, 4.807202067820306)]"
24734714,"[(6680201, 4.7819861222342865), (17702242, 4.7810937718092346), (10963433, 4.773762794360505)]"
41433044,"[(5636395, 4.5985711976788464), (1893225, 4.5663471044301023), (15860051, 4.5616543502701159)]"
